trans_id,lang,translation,category,station_sid,course_sid
明山台下,zh-tw,明山臺下,stop_name,9184ad23-8bf6-47de-a122-bdd6bc75329f,
明山台中,ja,明山台中,stop_name,953e8e0e-ae6b-420a-b34e-8c8250b064ab,
明山台中,ja-Hrkt,あけやまだいなか,stop_name,953e8e0e-ae6b-420a-b34e-8c8250b064ab,
明山台中,en,Akeyamadai-naka,stop_name,953e8e0e-ae6b-420a-b34e-8c8250b064ab,
明山台中,ko,아케야마다이 나카,stop_name,953e8e0e-ae6b-420a-b34e-8c8250b064ab,
明山台中,zh-cn,明山台中,stop_name,953e8e0e-ae6b-420a-b34e-8c8250b064ab,
明山台中,zh-tw,明山臺中,stop_name,953e8e0e-ae6b-420a-b34e-8c8250b064ab,
閑静園,ja,閑静園,stop_name,776e8613-4377-4bd0-8ae4-5ed568c2bdbf,
閑静園,ja-Hrkt,かんせいえん,stop_name,776e8613-4377-4bd0-8ae4-5ed568c2bdbf,
閑静園,en,Kanseien,stop_name,776e8613-4377-4bd0-8ae4-5ed568c2bdbf,
閑静園,ko,간세이엔,stop_name,776e8613-4377-4bd0-8ae4-5ed568c2bdbf,
閑静園,zh-cn,闲静园,stop_name,776e8613-4377-4bd0-8ae4-5ed568c2bdbf,
閑静園,zh-tw,閑靜園,stop_name,776e8613-4377-4bd0-8ae4-5ed568c2bdbf,
もみじが丘入口,ja,もみじが丘入口,stop_name,072d98b2-bfb2-4ee3-a070-5c6608207f52,
もみじが丘入口,ja-Hrkt,もみじがおかいりぐち,stop_name,072d98b2-bfb2-4ee3-a070-5c6608207f52,
もみじが丘入口,en,Momijigaoka-iriguchi,stop_name,072d98b2-bfb2-4ee3-a070-5c6608207f52,
もみじが丘入口,ko,모미지가오카 이리구치,stop_name,072d98b2-bfb2-4ee3-a070-5c6608207f52,
もみじが丘入口,zh-cn,红叶丘入口,stop_name,072d98b2-bfb2-4ee3-a070-5c6608207f52,
もみじが丘入口,zh-tw,紅葉丘入口,stop_name,072d98b2-bfb2-4ee3-a070-5c6608207f52,
もみじが丘中央,ja,もみじが丘中央,stop_name,6bef26dc-a25b-4f45-b17a-473f31c6c1e7,
もみじが丘中央,ja-Hrkt,もみじがおかちゅうおう,stop_name,6bef26dc-a25b-4f45-b17a-473f31c6c1e7,
もみじが丘中央,en,Momijigaoka-chuo,stop_name,6bef26dc-a25b-4f45-b17a-473f31c6c1e7,
もみじが丘中央,ko,모미지가오카 추오,stop_name,6bef26dc-a25b-4f45-b17a-473f31c6c1e7,
もみじが丘中央,zh-cn,红叶丘中央,stop_name,6bef26dc-a25b-4f45-b17a-473f31c6c1e7,
