table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,新高山二丁目,126 1,,
stops,stop_name,ja-Hrkt,シンタカヤマニチョウ,126 1,,
stops,stop_name,en,Shintakayama-nichome (Shintakayama 2),126 1,,
stops,stop_name,ko,신타카야마 2초메,126 1,,
stops,stop_name,zh-cn,新高山二丁目,126 1,,
stops,stop_name,zh-tw,新高山二丁目,126 1,,
stops,stop_name,ja,新高山二丁目,126 2,,
stops,stop_name,ja-Hrkt,シンタカヤマニチョウ,126 2,,
stops,stop_name,en,Shintakayama-nichome (Shintakayama 2),126 2,,
stops,stop_name,ko,신타카야마 2초메,126 2,,
stops,stop_name,zh-cn,新高山二丁目,126 2,,
stops,stop_name,zh-tw,新高山二丁目,126 2,,
stops,stop_name,ja,尾道国際ホテル前,127 1,,
stops,stop_name,ja-Hrkt,オノミチコクサイホテ,127 1,,
stops,stop_name,en,Onomichi Kokusai Hotel-mae,127 1,,
stops,stop_name,ko,오노미치 국제 호텔,127 1,,
stops,stop_name,zh-cn,尾道国际酒店前,127 1,,
stops,stop_name,zh-tw,尾道國際酒店前,127 1,,
stops,stop_name,ja,尾道国際ホテル前,127 2,,
stops,stop_name,ja-Hrkt,オノミチコクサイホテ,127 2,,
stops,stop_name,en,Onomichi Kokusai Hotel-mae,127 2,,
stops,stop_name,ko,오노미치 국제 호텔,127 2,,
stops,stop_name,zh-cn,尾道国际酒店前,127 2,,
stops,stop_name,zh-tw,尾道國際酒店前,127 2,,
stops,stop_name,ja,久山田水源地,128 1,,
stops,stop_name,ja-Hrkt,ヒサヤマダスイゲンチ,128 1,,
stops,stop_name,en,Hisayamada Suigenchi,128 1,,
stops,stop_name,ko,히사야마다 스이겐치,128 1,,
stops,stop_name,zh-cn,久山田水源地,128 1,,
stops,stop_name,zh-tw,久山田水源地,128 1,,
stops,stop_name,ja,岩子島,13 1,,
stops,stop_name,ja-Hrkt,イワシジマ,13 1,,
stops,stop_name,en,Iwashijima,13 1,,
stops,stop_name,ko,이와시지마,13 1,,
stops,stop_name,zh-cn,岩子岛,13 1,,
stops,stop_name,zh-tw,岩子島,13 1,,
stops,stop_name,ja,千光寺公園,130 1,,
stops,stop_name,ja-Hrkt,センコウジコウエン,130 1,,
stops,stop_name,en,Senkoji Koen (Senkoji Park),130 1,,
stops,stop_name,ko,센코지 공원,130 1,,
stops,stop_name,zh-cn,千光寺公园,130 1,,
stops,stop_name,zh-tw,千光寺公園,130 1,,
stops,stop_name,ja,千光寺公園,130 2,,
stops,stop_name,ja-Hrkt,センコウジコウエン,130 2,,
stops,stop_name,en,Senkoji Koen (Senkoji Park),130 2,,
stops,stop_name,ko,센코지 공원,130 2,,
stops,stop_name,zh-cn,千光寺公园,130 2,,
stops,stop_name,zh-tw,千光寺公園,130 2,,
stops,stop_name,ja,仙入峠,131 1,,
stops,stop_name,ja-Hrkt,センニュウダオ,131 1,,
stops,stop_name,en,Sennyu-dao,131 1,,
stops,stop_name,ko,센뉴다오,131 1,,
stops,stop_name,zh-cn,仙入峠,131 1,,
stops,stop_name,zh-tw,仙入峠,131 1,,
stops,stop_name,ja,仙入峠,131 2,,
stops,stop_name,ja-Hrkt,センニュウダオ,131 2,,
stops,stop_name,en,Sennyu-dao,131 2,,
stops,stop_name,ko,센뉴다오,131 2,,
stops,stop_name,zh-cn,仙入峠,131 2,,
stops,stop_name,zh-tw,仙入峠,131 2,,
stops,stop_name,ja,大学前,132 1,,
stops,stop_name,ja-Hrkt,ダイガクマエ,132 1,,
stops,stop_name,en,Daigaku-mae,132 1,,
stops,stop_name,ko,대학,132 1,,
stops,stop_name,zh-cn,大学前,132 1,,
stops,stop_name,zh-tw,大学前,132 1,,
stops,stop_name,ja,大通寺前,133 1,,
stops,stop_name,ja-Hrkt,ダイツウジマエ,133 1,,
stops,stop_name,en,Daitsuji-mae (Daitsuji Temple),133 1,,
stops,stop_name,ko,다이쓰지 절,133 1,,
stops,stop_name,zh-cn,大通寺前,133 1,,
stops,stop_name,zh-tw,大通寺前,133 1,,
stops,stop_name,ja,高須新涯,135 1,,
stops,stop_name,ja-Hrkt,タカスシンガイ,135 1,,
stops,stop_name,en,Takasushingai,135 1,,
stops,stop_name,ko,다카스신가이,135 1,,
stops,stop_name,zh-cn,高须新涯,135 1,,
stops,stop_name,zh-tw,高須新涯,135 1,,
stops,stop_name,ja,高須新涯,135 2,,
stops,stop_name,ja-Hrkt,タカスシンガイ,135 2,,
stops,stop_name,en,Takasushingai,135 2,,
stops,stop_name,ko,다카스신가이,135 2,,
stops,stop_name,zh-cn,高须新涯,135 2,,
stops,stop_name,zh-tw,高須新涯,135 2,,
stops,stop_name,ja,高須農協前,136 1,,
stops,stop_name,ja-Hrkt,タカスノウキョウマエ,136 1,,
stops,stop_name,en,Takasu Nokyo-mae,136 1,,
stops,stop_name,ko,다카스 노쿄 마에,136 1,,
stops,stop_name,zh-cn,高须农协前,136 1,,
stops,stop_name,zh-tw,高須農協前,136 1,,
stops,stop_name,ja,高須農協前,136 2,,
stops,stop_name,ja-Hrkt,タカスノウキョウマエ,136 2,,
stops,stop_name,en,Takasu Nokyo-mae,136 2,,
stops,stop_name,ko,다카스 노쿄 마에,136 2,,
stops,stop_name,zh-cn,高须农协前,136 2,,
stops,stop_name,zh-tw,高須農協前,136 2,,
stops,stop_name,ja,高見山登山口,137 1,,
stops,stop_name,ja-Hrkt,タカミヤマトザングチ,137 1,,
stops,stop_name,en,Takamiyama Tozan-guchi,137 1,,
stops,stop_name,ko,다카미야마 토잔구치,137 1,,
stops,stop_name,zh-cn,高见山登山口,137 1,,
stops,stop_name,zh-tw,高見山登山口,137 1,,
stops,stop_name,ja,高見山登山口,137 2,,
stops,stop_name,ja-Hrkt,タカミヤマトザングチ,137 2,,
stops,stop_name,en,Takamiyama Tozan-guchi,137 2,,
stops,stop_name,ko,다카미야마 토잔구치,137 2,,
stops,stop_name,zh-cn,高见山登山口,137 2,,
stops,stop_name,zh-tw,高見山登山口,137 2,,
stops,stop_name,ja,高諸神社,138 1,,
stops,stop_name,ja-Hrkt,タカモロジンジャ,138 1,,
stops,stop_name,en,Takamoro Jinja (Takamoro Jinja Shrine),138 1,,
stops,stop_name,ko,다카모로진자 신사,138 1,,
stops,stop_name,zh-cn,高诸神社,138 1,,
stops,stop_name,zh-tw,高諸神社,138 1,,
stops,stop_name,ja,高諸神社,138 2,,
stops,stop_name,ja-Hrkt,タカモロジンジャ,138 2,,
stops,stop_name,en,Takamoro Jinja (Takamoro Jinja Shrine),138 2,,
stops,stop_name,ko,다카모로진자 신사,138 2,,
stops,stop_name,zh-cn,高诸神社,138 2,,
stops,stop_name,zh-tw,高諸神社,138 2,,
stops,stop_name,ja,田尻,139 1,,
stops,stop_name,ja-Hrkt,タジリ,139 1,,
stops,stop_name,en,Tajiri,139 1,,
stops,stop_name,ko,다지리,139 1,,
stops,stop_name,zh-cn,田尻,139 1,,
stops,stop_name,zh-tw,田尻,139 1,,
stops,stop_name,ja,田尻,139 2,,
stops,stop_name,ja-Hrkt,タジリ,139 2,,
stops,stop_name,en,Tajiri,139 2,,
stops,stop_name,ko,다지리,139 2,,
stops,stop_name,zh-cn,田尻,139 2,,
stops,stop_name,zh-tw,田尻,139 2,,
stops,stop_name,ja,岩子島渡,14 1,,
stops,stop_name,ja-Hrkt,イワシジマワタシ,14 1,,
stops,stop_name,en,Iwashijima-watashi,14 1,,
stops,stop_name,ko,이와시지마 와타시,14 1,,
stops,stop_name,zh-cn,岩子岛渡,14 1,,
stops,stop_name,zh-tw,岩子島渡,14 1,,
stops,stop_name,ja,立花農協前,140 1,,
stops,stop_name,ja-Hrkt,タチバナノウキョウマ,140 1,,
stops,stop_name,en,Tachibana Nokyo-mae,140 1,,
stops,stop_name,ko,다치바나 노쿄 마에,140 1,,
stops,stop_name,zh-cn,立花农协前,140 1,,
stops,stop_name,zh-tw,立花農協前,140 1,,
stops,stop_name,ja,立石,141 1,,
stops,stop_name,ja-Hrkt,タテイシ,141 1,,
stops,stop_name,en,Tateishi,141 1,,
stops,stop_name,ko,다테이시,141 1,,
stops,stop_name,zh-cn,立石,141 1,,
stops,stop_name,zh-tw,立石,141 1,,
stops,stop_name,ja,ベイタウン中央,142 1,,
stops,stop_name,ja-Hrkt,ベイタウンチュウオウ,142 1,,
stops,stop_name,en,Bay Town-chuo,142 1,,
stops,stop_name,ko,베이타운 추오,142 1,,
stops,stop_name,zh-cn,Bay Town中央,142 1,,
stops,stop_name,zh-tw,Bay Town中央,142 1,,
stops,stop_name,ja,ベイタウン中央,142 2,,
stops,stop_name,ja-Hrkt,ベイタウンチュウオウ,142 2,,
stops,stop_name,en,Bay Town-chuo,142 2,,
stops,stop_name,ko,베이타운 추오,142 2,,
stops,stop_name,zh-cn,Bay Town中央,142 2,,
stops,stop_name,zh-tw,Bay Town中央,142 2,,
stops,stop_name,ja,堤,145 1,,
