table_name,field_name,language,translation,record_id,record_sub_id,field_value,station_sid,course_sid
stops,stop_name,ja,市役所前,112 1,,,b4e11f49-e5d3-43ea-8bdb-123ef731b00a,
stops,stop_name,ja-Hrkt,シヤクショマエ,112 1,,,b4e11f49-e5d3-43ea-8bdb-123ef731b00a,
stops,stop_name,en,Shiyakusho-mae (City Hall),112 1,,,b4e11f49-e5d3-43ea-8bdb-123ef731b00a,
stops,stop_name,ko,시청,112 1,,,b4e11f49-e5d3-43ea-8bdb-123ef731b00a,
stops,stop_name,zh-cn,市政府前,112 1,,,b4e11f49-e5d3-43ea-8bdb-123ef731b00a,
stops,stop_name,zh-tw,市政府前,112 1,,,b4e11f49-e5d3-43ea-8bdb-123ef731b00a,
stops,stop_name,ja,市役所前,112 2,,,f40294b5-489d-41e8-95b0-d53de6308e83,
stops,stop_name,ja-Hrkt,シヤクショマエ,112 2,,,f40294b5-489d-41e8-95b0-d53de6308e83,
stops,stop_name,en,Shiyakusho-mae (City Hall),112 2,,,f40294b5-489d-41e8-95b0-d53de6308e83,
stops,stop_name,ko,시청,112 2,,,f40294b5-489d-41e8-95b0-d53de6308e83,
stops,stop_name,zh-cn,市政府前,112 2,,,f40294b5-489d-41e8-95b0-d53de6308e83,
stops,stop_name,zh-tw,市政府前,112 2,,,f40294b5-489d-41e8-95b0-d53de6308e83,
stops,stop_name,ja,高須車庫,113 1,,,4569eb49-3a8b-4dae-8a9f-816ce48f8869,
stops,stop_name,ja-Hrkt,タカスシャコ,113 1,,,4569eb49-3a8b-4dae-8a9f-816ce48f8869,
stops,stop_name,en,Takasu Shako (Takasu Depot),113 1,,,4569eb49-3a8b-4dae-8a9f-816ce48f8869,
stops,stop_name,ko,다카스 차고,113 1,,,4569eb49-3a8b-4dae-8a9f-816ce48f8869,
stops,stop_name,zh-cn,高须车库,113 1,,,4569eb49-3a8b-4dae-8a9f-816ce48f8869,
stops,stop_name,zh-tw,高須車庫,113 1,,,4569eb49-3a8b-4dae-8a9f-816ce48f8869,
stops,stop_name,ja,高須車庫,113 10,,,209b00f3-19e0-4b06-b0d9-ff4c9449e50a,
stops,stop_name,ja-Hrkt,タカスシャコ,113 10,,,209b00f3-19e0-4b06-b0d9-ff4c9449e50a,
stops,stop_name,en,Takasu Shako (Takasu Depot),113 10,,,209b00f3-19e0-4b06-b0d9-ff4c9449e50a,
stops,stop_name,ko,다카스 차고,113 10,,,209b00f3-19e0-4b06-b0d9-ff4c9449e50a,
stops,stop_name,zh-cn,高须车库,113 10,,,209b00f3-19e0-4b06-b0d9-ff4c9449e50a,
stops,stop_name,zh-tw,高須車庫,113 10,,,209b00f3-19e0-4b06-b0d9-ff4c9449e50a,
stops,stop_name,ja,商工会議所前,114 1,,,f196f0dd-42cd-424f-8e6b-7a104a2962bc,
stops,stop_name,ja-Hrkt,ショウコウカイギショ,114 1,,,f196f0dd-42cd-424f-8e6b-7a104a2962bc,
stops,stop_name,en,Shokokaigisho-mae (Chamber of Commerce),114 1,,,f196f0dd-42cd-424f-8e6b-7a104a2962bc,
stops,stop_name,ko,쇼코카이기쇼 마에,114 1,,,f196f0dd-42cd-424f-8e6b-7a104a2962bc,
stops,stop_name,zh-cn,商工会议所前,114 1,,,f196f0dd-42cd-424f-8e6b-7a104a2962bc,
stops,stop_name,zh-tw,商工會議所前,114 1,,,f196f0dd-42cd-424f-8e6b-7a104a2962bc,
stops,stop_name,ja,商工会議所前,114 2,,,7df7a645-7d26-4dfe-bba7-7b39ff85936a,
stops,stop_name,ja-Hrkt,ショウコウカイギショ,114 2,,,7df7a645-7d26-4dfe-bba7-7b39ff85936a,
stops,stop_name,en,Shokokaigisho-mae (Chamber of Commerce),114 2,,,7df7a645-7d26-4dfe-bba7-7b39ff85936a,
stops,stop_name,ko,쇼코카이기쇼 마에,114 2,,,7df7a645-7d26-4dfe-bba7-7b39ff85936a,
stops,stop_name,zh-cn,商工会议所前,114 2,,,7df7a645-7d26-4dfe-bba7-7b39ff85936a,
stops,stop_name,zh-tw,商工會議所前,114 2,,,7df7a645-7d26-4dfe-bba7-7b39ff85936a,
stops,stop_name,ja,正徳橋,115 1,,,e162f84e-62a9-433e-a11e-090b5af29ddd,
stops,stop_name,ja-Hrkt,ショウトクバシ,115 1,,,e162f84e-62a9-433e-a11e-090b5af29ddd,
stops,stop_name,en,Shotokubashi,115 1,,,e162f84e-62a9-433e-a11e-090b5af29ddd,
stops,stop_name,ko,쇼토쿠바시,115 1,,,e162f84e-62a9-433e-a11e-090b5af29ddd,
stops,stop_name,zh-cn,正德桥,115 1,,,e162f84e-62a9-433e-a11e-090b5af29ddd,
stops,stop_name,zh-tw,正德橋,115 1,,,e162f84e-62a9-433e-a11e-090b5af29ddd,
stops,stop_name,ja,正徳橋,115 2,,,59e4ee6b-21c3-49a5-bc69-06c9e95d87cc,
stops,stop_name,ja-Hrkt,ショウトクバシ,115 2,,,59e4ee6b-21c3-49a5-bc69-06c9e95d87cc,
stops,stop_name,en,Shotokubashi,115 2,,,59e4ee6b-21c3-49a5-bc69-06c9e95d87cc,
stops,stop_name,ko,쇼토쿠바시,115 2,,,59e4ee6b-21c3-49a5-bc69-06c9e95d87cc,
stops,stop_name,zh-cn,正德桥,115 2,,,59e4ee6b-21c3-49a5-bc69-06c9e95d87cc,
stops,stop_name,zh-tw,正德橋,115 2,,,59e4ee6b-21c3-49a5-bc69-06c9e95d87cc,
stops,stop_name,ja,浄土寺下,116 1,,,75988845-897a-49e3-b4f8-92b989fd0b99,
stops,stop_name,ja-Hrkt,ジョウドウジシタ,116 1,,,75988845-897a-49e3-b4f8-92b989fd0b99,
stops,stop_name,en,Jodoji-shita (Jodoji Temple),116 1,,,75988845-897a-49e3-b4f8-92b989fd0b99,
stops,stop_name,ko,조도지 절,116 1,,,75988845-897a-49e3-b4f8-92b989fd0b99,
