trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:58:00,06:58:00,6010 1,23,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,06:59:00,06:59:00,6000 1,24,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,07:00:00,07:00:00,5990 1,25,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,07:00:00,07:00:00,5720 1,26,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,07:01:00,07:01:00,5980 1,27,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,07:02:00,07:02:00,5700 1,28,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,07:03:00,07:03:00,5690 1,29,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,07:03:00,07:03:00,25180 1,30,熊野営業所,0,0,,
8404ed8b-d4c2-4c1c-bc94-06a23ee248fb,07:08:00,07:08:00,5680 3,31,熊野営業所,1,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:34:00,09:34:00,5970 1,1,フジ熊野店,0,1,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:34:00,09:34:00,5960 1,2,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:34:00,09:34:00,5950 1,3,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:35:00,09:35:00,5940 1,4,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:36:00,09:36:00,5930 1,5,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:36:00,09:36:00,5920 1,6,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:37:00,09:37:00,5910 1,7,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:38:00,09:38:00,5900 1,8,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:38:00,09:38:00,5890 1,9,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:39:00,09:39:00,5880 1,10,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:39:00,09:39:00,5870 1,11,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:40:00,09:40:00,5860 1,12,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:40:00,09:40:00,5850 1,13,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:41:00,09:41:00,5840 1,14,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:41:00,09:41:00,5830 1,15,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:42:00,09:42:00,5820 1,16,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:43:00,09:43:00,5810 1,17,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:43:00,09:43:00,5800 1,18,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:44:00,09:44:00,5790 1,19,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:44:00,09:44:00,5780 3,20,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:45:00,09:45:00,6030 1,21,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:45:00,09:45:00,6020 1,22,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:46:00,09:46:00,6010 1,23,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:52:00,09:52:00,6020 2,24,フジ熊野店,0,0,,
fed7d69b-c4d2-474a-97f7-0b711d73572a,09:53:00,09:53:00,6040 1,25,フジ熊野店,1,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:40:00,20:40:00,5680 2,1,阿戸学校,0,1,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:41:00,20:41:00,25180 2,2,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:41:00,20:41:00,5690 2,3,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:42:00,20:42:00,5700 2,4,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:43:00,20:43:00,5980 2,5,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:43:00,20:43:00,5720 2,6,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:44:00,20:44:00,5990 2,7,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:44:00,20:44:00,6000 2,8,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:45:00,20:45:00,6010 2,9,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:46:00,20:46:00,6020 2,10,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:47:00,20:47:00,6030 2,11,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:47:00,20:47:00,5780 4,12,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:48:00,20:48:00,5790 2,13,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:49:00,20:49:00,5800 2,14,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:49:00,20:49:00,5810 2,15,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:50:00,20:50:00,5820 2,16,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:50:00,20:50:00,5830 2,17,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:50:00,20:50:00,5840 2,18,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:51:00,20:51:00,5850 2,19,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:51:00,20:51:00,5860 2,20,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:52:00,20:52:00,5870 2,21,阿戸学校,0,0,,
