fare_id,route_id,origin_id,destination_id,contains_id
1000020342131_150_00,2400871691,1360 2,1472 2,
1000020342131_150_00,2400871691,1360 2,23260 2,
1000020342131_150_00,2400871691,1470 2,1472 2,
1000020342131_150_00,2400871691,1470 2,99111 2,
1000020342131_150_00,2400871691,1250 2,99112 2,
1000020342131_150_00,2400871691,1190 2,1380 2,
1000020342131_150_00,2400871691,1190 2,1472 2,
1000020342131_150_00,2400871691,1190 2,1330 2,
1000020342131_150_00,2400871691,1090 2,1390 2,
1000020342131_150_00,2400871691,1090 2,99111 2,
1000020342131_150_00,2400871691,1210 2,1280 2,
1000020342131_150_00,2400871691,1150 2,1200 2,
1000020342131_150_00,2400871691,1150 2,1471 1,
1000020342131_150_00,2400871691,1150 2,1180 2,
1000020342131_150_00,2400871691,1140 2,99112 2,
1000020342131_150_00,2400871691,1140 2,1190 2,
1000020342131_150_00,2400871691,1075 1,1400 2,
1000020342131_150_00,2400871691,1180 2,1310 2,
1000020342131_150_00,2400871691,1100 2,24210 1,
1000020342131_150_00,2400871691,1100 2,1220 2,
1000020342131_150_00,2400871691,1110 2,1191 2,
1000020342131_150_00,2400871691,1110 2,1440 2,
1000020342131_150_00,2400871691,1400 2,1470 2,
1000020342131_150_00,1830949550,2400 2,5120 2,
1000020342131_150_00,3277890833,780 1,24020 3,
1000020342131_150_00,3277890833,750 2,750 2,
1000020342131_150_00,3277890833,750 2,790 1,
1000020342131_150_00,3277890833,750 2,772 1,
