fare_id,route_id,origin_id,destination_id,contains_id
9240001016533_150_00,2662199824,1850 2,1120 1,
9240001016533_150_00,2662199824,1850 2,1670 1,
9240001016533_150_00,2662199824,1850 2,1240 1,
9240001016533_150_00,2662199824,1850 2,1840 2,
9240001016533_150_00,2662199824,1850 2,1260 1,
9240001016533_150_00,2662199824,1480 1,1674 1,
9240001016533_150_00,2662199824,1840 2,1672 1,
9240001016533_150_00,2662199824,1090 1,1710 1,
9240001016533_150_00,2662199824,1370 1,1670 1,
9240001016533_150_00,2662199824,1450 1,1110 1,
9240001016533_150_00,2662199824,1450 1,1660 1,
9240001016533_150_00,2662199824,1450 1,1340 2,
9240001016533_150_00,2662199824,1070 1,1160 1,
9240001016533_150_00,2662199824,1390 1,1570 1,
9240001016533_150_00,2662199824,1390 1,1670 1,
9240001016533_150_00,2662199824,1850 1,1674 1,
9240001016533_150_00,2662199824,1160 1,1650 1,
9240001016533_150_00,2662199824,1340 1,1120 1,
9240001016533_150_00,2662199824,1340 1,1570 1,
9240001016533_150_00,2662199824,1340 1,1840 2,
9240001016533_150_00,2662199824,1340 1,1260 1,
9240001016533_150_00,2662199824,1270 1,1670 1,
9240001016533_150_00,2662199824,1270 1,1260 1,
9240001016533_150_00,2662199824,1270 1,1674 1,
9240001016533_150_00,2662199824,1430 1,1670 1,
9240001016533_150_00,2662199824,1430 1,1340 2,
9240001016533_150_00,2662199824,1560 1,1710 1,
9240001016533_150_00,2662199824,1560 1,1090 1,
9240001016533_150_00,2662199824,1230 1,1100 1,
9240001016533_150_00,2662199824,1250 1,1530 2,
9240001016533_150_00,2662199824,1250 1,1520 1,
9240001016533_150_00,2662199824,1250 1,1660 1,
9240001016533_150_00,2662199824,1250 1,1840 2,
9240001016533_150_00,2662199824,1570 1,1150 1,
9240001016533_150_00,2662199824,1570 1,1160 1,
9240001016533_150_00,2662199824,1440 1,1240 1,
9240001016533_150_00,2662199824,1440 1,1660 1,
9240001016533_150_00,2662199824,1440 1,1340 2,
9240001016533_150_00,2662199824,1460 1,1500 1,
9240001016533_150_00,2662199824,1460 1,1700 1,
9240001016533_150_00,2662199824,1580 2,1500 1,
9240001016533_150_00,2662199824,1700 1,1120 1,
9240001016533_150_00,2662199824,1700 1,1530 2,
9240001016533_150_00,2662199824,1700 1,1110 1,
9240001016533_150_00,2662199824,1700 1,1660 1,
9240001016533_150_00,2662199824,1700 1,1260 1,
9240001016533_150_00,2662199824,1520 1,1650 1,
9240001016533_150_00,2662199824,1470 1,1150 1,
9240001016533_150_00,2662199824,1470 1,1640 1,
9240001016533_150_00,2662199824,1470 1,1690 1,
9240001016533_150_00,2662199824,1470 1,1820 2,
9240001016533_150_00,2662199824,1470 1,1450 1,
9240001016533_150_00,2662199824,1470 1,1270 1,
9240001016533_150_00,2662199824,1470 1,1430 1,
9240001016533_150_00,2662199824,1640 1,1230 1,
9240001016533_150_00,2662199824,1640 1,1850 2,
9240001016533_150_00,2662199824,1640 1,1270 1,
9240001016533_150_00,2662199824,1600 1,1500 1,
9240001016533_150_00,2662199824,1600 1,1840 1,
9240001016533_150_00,2662199824,1840 1,1120 1,
9240001016533_150_00,2662199824,1840 1,1570 1,
9240001016533_150_00,2662199824,1840 1,1520 1,
9240001016533_150_00,2662199824,1840 1,1100 1,
9240001016533_150_00,2662199824,1840 1,1110 1,
9240001016533_150_00,2662199824,1550 1,1570 1,
9240001016533_150_00,2662199824,1690 1,1230 1,
9240001016533_150_00,2662199824,1690 1,1620 1,
9240001016533_150_00,2662199824,1690 1,1850 2,
9240001016533_150_00,2662199824,1690 1,1820 2,
9240001016533_150_00,2662199824,1850 2,1820 2,
9240001016533_150_00,2662199824,1850 2,1270 1,
9240001016533_150_00,2662199824,1240 1,1160 1,
9240001016533_150_00,2662199824,1240 1,1560 1,
9240001016533_150_00,2662199824,1110 1,1710 1,
9240001016533_150_00,2662199824,1480 1,1470 1,
9240001016533_150_00,2662199824,1480 1,1640 1,
9240001016533_150_00,2662199824,1660 1,1710 1,
9240001016533_150_00,2662199824,1840 2,1650 1,
9240001016533_150_00,2662199824,1840 2,1500 1,
9240001016533_150_00,2662199824,1340 2,1840 1,
9240001016533_150_00,2662199824,1340 2,1160 1,
9240001016533_150_00,2662199824,1260 1,1560 1,
9240001016533_150_00,2662199824,1450 1,1230 1,
9240001016533_150_00,2662199824,1450 1,1690 1,
9240001016533_150_00,2662199824,1450 1,1560 1,
9240001016533_150_00,2662199824,1630 1,1600 1,
9240001016533_150_00,2662199824,1630 1,1240 1,
9240001016533_150_00,2662199824,1630 1,1840 2,
9240001016533_150_00,2662199824,1160 1,1580 2,
9240001016533_150_00,2662199824,1160 1,1100 1,
9240001016533_150_00,2662199824,1160 1,1110 1,
