"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id","wheelchair_accessible"
"1_49_20260401","2_1387_20260401","1_1387_85_1_102284_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_85_1_102286_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_85_1_102287_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_85_1_102289_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_85_1_102291_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_85_1_102296_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_85_1_102297_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_85_1_102298_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_85_1_102299_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_85_1_102300_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_85_1_102301_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_85_1_102302_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_85_1_102303_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_85_1_102304_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_85_1_102296_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_85_1_102297_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_85_1_102298_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_85_1_102299_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_85_1_102300_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_85_1_102301_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_85_1_102302_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_85_1_102303_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_85_1_102304_20260401","福山駅前",,"0",,,,,"2",
"1_49_20260401","3_1391_20260401","1_1391_85_1_102285_20260401","福山駅前",,"0",,,,,"3",
"1_49_20260401","3_1391_20260401","1_1391_85_1_102288_20260401","福山駅前",,"0",,,,,"3",
"1_49_20260401","3_1391_20260401","1_1391_85_1_102290_20260401","福山駅前",,"0",,,,,"3",
"1_49_20260401","1_1384_20260401","1_1384_171_2_102307_20260401","目崎車庫",,"1",,,,,"1",
"1_49_20260401","1_1384_20260401","1_1384_171_2_102316_20260401","目崎車庫",,"1",,,,,"1",
"1_49_20260401","1_1384_20260401","1_1384_171_2_102317_20260401","目崎車庫",,"1",,,,,"1",
"1_49_20260401","1_1384_20260401","1_1384_171_2_102321_20260401","目崎車庫",,"1",,,,,"1",
"1_49_20260401","2_1387_20260401","1_1387_171_2_102306_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_171_2_102308_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_171_2_102309_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_171_2_102311_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_171_2_102312_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_171_2_102313_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_171_2_102318_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_171_2_102319_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_171_2_102320_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_171_2_102322_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1387_20260401","1_1387_171_2_102323_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_171_2_102325_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_171_2_102326_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_171_2_102327_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_171_2_102328_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_171_2_102329_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_171_2_102330_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_171_2_102331_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_171_2_102332_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1388_20260401","1_1388_171_2_102333_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_171_2_102325_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_171_2_102326_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_171_2_102327_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_171_2_102328_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_171_2_102329_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_171_2_102330_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_171_2_102331_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_171_2_102332_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","2_1390_20260401","1_1390_171_2_102333_20260401","目崎車庫",,"1",,,,,"2",
"1_49_20260401","3_1391_20260401","1_1391_171_2_102310_20260401","目崎車庫",,"1",,,,,"3",
"1_49_20260401","3_1391_20260401","1_1391_171_2_102314_20260401","目崎車庫",,"1",,,,,"3",
"1_49_20260401","3_1391_20260401","1_1391_171_2_102315_20260401","目崎車庫",,"1",,,,,"3",
"1_62_20260401","2_1388_20260401","1_1388_93_1_1858_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_62_20260401","2_1390_20260401","1_1390_93_1_1859_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_62_20260401","2_1387_20260401","1_1387_122_1_2408_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_62_20260401","2_1388_20260401","1_1388_122_1_2411_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_62_20260401","2_1388_20260401","1_1388_122_1_2412_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_62_20260401","2_1388_20260401","1_1388_122_1_2413_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_62_20260401","2_1390_20260401","1_1390_122_1_2415_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_62_20260401","2_1390_20260401","1_1390_122_1_2416_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_62_20260401","2_1390_20260401","1_1390_122_1_2417_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_62_20260401","2_1387_20260401","1_1387_123_1_102250_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_62_20260401","2_1387_20260401","1_1387_123_1_102251_20260401","道の駅びんご府中",,"0",,,,,"2",
"1_62_20260401","2_1387_20260401","1_1387_173_2_2790_20260401","金丸車庫前",,"1",,,,,"2",
"1_62_20260401","2_1388_20260401","1_1388_173_2_2793_20260401","金丸車庫前",,"1",,,,,"2",
"1_62_20260401","2_1388_20260401","1_1388_173_2_2794_20260401","金丸車庫前",,"1",,,,,"2",
"1_62_20260401","2_1388_20260401","1_1388_173_2_2795_20260401","金丸車庫前",,"1",,,,,"2",
"1_62_20260401","2_1390_20260401","1_1390_173_2_2798_20260401","金丸車庫前",,"1",,,,,"2",
"1_62_20260401","2_1390_20260401","1_1390_173_2_2799_20260401","金丸車庫前",,"1",,,,,"2",
"1_62_20260401","2_1390_20260401","1_1390_173_2_2800_20260401","金丸車庫前",,"1",,,,,"2",
"1_62_20260401","2_1388_20260401","1_1388_194_2_3137_20260401","本山団地上",,"1",,,,,"2",
"1_62_20260401","2_1390_20260401","1_1390_194_2_3138_20260401","本山団地上",,"1",,,,,"2",
"1_64_20260401","2_1388_20260401","1_1388_54_1_1262_20260401","尾道駅前",,"0",,,,,"2",
"1_64_20260401","2_1388_20260401","1_1388_54_1_101202_20260401","尾道駅前",,"0",,,,,"2",
"1_64_20260401","3_1391_20260401","1_1391_54_1_1266_20260401","尾道駅前",,"0",,,,,"3",
"1_64_20260401","3_1391_20260401","1_1391_54_1_102181_20260401","尾道駅前",,"0",,,,,"3",
"1_64_20260401","3_1391_20260401","1_1391_54_1_101819_20260401","尾道駅前",,"0",,,,,"3",
"1_64_20260401","3_1391_20260401","1_1391_54_1_101873_20260401","尾道駅前",,"0",,,,,"3",
"1_64_20260401","3_1391_20260401","1_1391_54_1_101874_20260401","尾道駅前",,"0",,,,,"3",
"1_64_20260401","3_1391_20260401","1_1391_54_1_102182_20260401","尾道駅前",,"0",,,,,"3",
"1_64_20260401","3_1392_20260401","1_1392_54_1_102196_20260401","尾道駅前",,"0",,,,,"3",
"1_64_20260401","3_1393_20260401","1_1393_54_1_1271_20260401","尾道駅前",,"0",,,,,"3",
"1_64_20260401","3_1391_20260401","1_1391_100_1_102189_20260401","尾道駅前",,"0",,,,,"3",
"1_64_20260401","3_1392_20260401","1_1392_100_1_2015_20260401","尾道駅前",,"0",,,,,"3",
"1_64_20260401","3_1392_20260401","1_1392_100_1_2017_20260401","尾道駅前",,"0",,,,,"3",
"1_64_20260401","3_1392_20260401","1_1392_100_1_101803_20260401","尾道駅前",,"0",,,,,"3",
"1_64_20260401","3_1393_20260401","1_1393_100_1_102190_20260401","尾道駅前",,"0",,,,,"3",
"1_64_20260401","3_1393_20260401","1_1393_100_1_2020_20260401","尾道駅前",,"0",,,,,"3",
"1_64_20260401","4_1394_20260401","1_1394_100_1_2010_20260401","尾道駅前",,"0",,,,,"4",
"1_64_20260401","4_1394_20260401","1_1394_100_1_101872_20260401","尾道駅前",,"0",,,,,"4",
"1_64_20260401","4_1394_20260401","1_1394_100_1_101847_20260401","尾道駅前",,"0",,,,,"4",
"1_64_20260401","4_1394_20260401","1_1394_100_1_102188_20260401","尾道駅前",,"0",,,,,"4",
"1_64_20260401","4_1395_20260401","1_1395_100_1_2014_20260401","尾道駅前",,"0",,,,,"4",
