stop_id,direction
89316 2,桂浜温泉館方面
89317 1,大向・重生方面
89317 2,桂浜温泉館方面
89318 1,大向・重生方面
89318 2,桂浜温泉館方面
89319 1,大向・重生方面
89319 2,桂浜温泉館方面
89320 1,大向・重生方面
89320 2,桂浜温泉館方面
89321 1,大向・重生方面
89321 2,桂浜温泉館方面
89322 1,大向・重生方面
89322 2,桂浜温泉館方面
89323 1,
89324 1,呉駅方面
89324 2,宮ノ口方面
89325 1,呉駅方面
89325 2,宮ノ口方面
89326 1,呉駅方面
89326 2,宮ノ口方面
89327 1,呉駅方面
89327 2,宮ノ口方面
89328 1,呉駅方面
89328 2,宮ノ口方面
89329 1,呉駅方面
89329 2,宮ノ口方面
89330 1,呉駅方面
89330 2,宮ノ口方面
89331 1,呉駅方面
89331 2,宮ノ口方面
89332 1,呉駅方面
89332 2,宮ノ口方面
89333 1,呉駅方面
89333 2,宮ノ口方面
89334 1,呉駅方面
89334 2,宮ノ口方面
89335 1,
89336 1,呉駅方面
89336 2,宮ノ口方面
89337 1,呉駅方面
89337 2,宮ノ口方面
89338 1,呉駅方面
89338 2,宮ノ口方面
89339 1,
89340 1,呉駅方面
89340 2,大迫・宮ノ口方面
89341 1,呉駅方面
89341 2,大迫・宮ノ口方面
89342 1,呉駅方面
89342 2,大迫・宮ノ口方面
89343 1,呉駅方面
89343 2,大迫・宮ノ口方面
89344 1,
89345 1,
89346 1,長谷方面
89346 2,重生方面
89347 1,長谷方面
89347 2,重生方面
89348 1,長谷方面
89348 2,重生方面
89349 1,長谷方面
89349 2,重生方面
89350 1,長谷方面
89350 2,重生方面
89351 1,長谷方面
89351 2,重生方面
89352 1,長谷方面
89352 2,重生方面
89353 1,長谷方面
89353 2,重生方面
89354 1,長谷方面
89354 2,重生方面
89355 1,長谷方面
89355 2,重生方面
89356 1,長谷方面
89356 2,重生方面
89357 1,
89357 2,見戸代桟橋方面
89358 1,大地蔵方面
89358 2,見戸代桟橋方面
89359 1,大地蔵方面
89359 2,見戸代桟橋方面
89360 1,大地蔵方面
89360 2,見戸代桟橋方面
89361 1,大地蔵方面
89361 2,見戸代桟橋方面
89362 1,大地蔵方面
89362 2,見戸代桟橋方面
89363 1,大地蔵方面
89363 2,見戸代桟橋方面
89364 1,大地蔵方面
89364 2,見戸代桟橋方面
89365 1,大地蔵方面
89365 2,見戸代桟橋方面
89366 1,大地蔵方面
89366 2,見戸代桟橋方面
89367 1,大地蔵方面
89367 2,見戸代桟橋方面
89368 1,大地蔵方面
89368 2,見戸代桟橋方面
89369 1,大地蔵方面
89369 2,見戸代桟橋方面
89370 1,大地蔵方面
89370 2,見戸代桟橋方面
89371 1,大地蔵方面
89371 2,見戸代桟橋方面
89372 1,大地蔵方面
89372 2,見戸代桟橋方面
89373 1,大地蔵方面
